Row Labels,Average of Results Quality,Average of Duration
"cosine anchor, text_weight = 1, title_weight =0.6, anchor_weight = 0.4,pr_weight = 0.3,pv_weight = 0.1",0.211233333,2.615177759
"CSanchor BMtitle, text_weight = 1, title_weight =0.6, anchor_weight = 0.4,pr_weight = 0.5,pv_weight = 0.15",0.211233333,2.546432813
"CSanchor BMtitle, text_weight = 1.5, title_weight =0.6, anchor_weight = 0.1,pr_weight = 0.2,pv_weight = 0.5",0.291133333,2.520873229
"CSanchor BMtitle, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0.1,pr_weight = 0.2,pv_weight = 0.5",0.2833,2.676374237
"NO anchor BMtitle k=1, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5",0.291433333,1.690737343
"NO anchor BMtitle k=1.5, b = 0.2, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5",0.2858,1.671476007
"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5",0.291833333,1.673191881
"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5",0.284133333,1.671208509
"NO anchor BMtitle k=1.5, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5",0.291433333,1.709024016
"NO anchor BMtitle, text_weight, c200 = 1.5, title_weight =0.6, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5",0.290733333,1.722852421
"text_weight = 0.65, title_weight =0.25, anchor_weight = 0.1,pr_weight = 1,pv_weight = 1",0.168016667,2.145554141
"text_weight = 0.8, title_weight =0.2, anchor_weight = 0.5,pr_weight = 1,pv_weight = 2",0.155666667,2.072227446
"text_weight = 0.8, title_weight =0.25, anchor_weight = 0.1,pr_weight = 1,pv_weight = 1",0.175566667,2.115551964
"text_weight = 0.8, title_weight =0.25, anchor_weight = 0.5,pr_weight = 2,pv_weight = 1",0.1171,2.075801714
"text_weight = 1, title_weight =0.2, anchor_weight = 0.4,pr_weight = 0.4,pv_weight = 0.2",0.103408333,2.38268472
"text_weight = 1, title_weight =0.2, anchor_weight = 0.5,pr_weight = 1,pv_weight = 1",0.164433333,2.045891301
"text_weight = 1, title_weight =0.6, anchor_weight = 0.1,pr_weight = 1,pv_weight = 1",0.2288,2.037197169
"text_weight = 2, title_weight =0.2, anchor_weight = 0.1,pr_weight = 2,pv_weight = 1",0.163166667,2.052901646
Grand Total,0.200229167,2.118495654Human Genome Project DNA mapping,1.858259916305542,0.488,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Italian pasta varieties and recipes,1.5652270317077637,0.083,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Street food around the world,2.2699129581451416,0.092,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Surrealism art Salvador Dalí,1.6755712032318115,0.351,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mediterranean diet health benefits,1.4879229068756104,0.25,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Civil Rights Movement 1960s protests,2.455414056777954,0.192,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Manhattan Project atomic bomb,1.2733588218688965,0.31,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Cheese types and production,1.3544809818267822,0.392,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Anime history Japan Studio Ghibli,1.8521692752838135,0.143,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Berlin Wall fall reunification,1.5644309520721436,0.09,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Sushi origins Japan,1.3560099601745605,0.139,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
World War I causes consequences,2.8077492713928223,0.165,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Higgs Boson discovery physics,1.3202323913574219,0.326,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Golden Age of Hollywood films,2.5916643142700195,0.083,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.3511159420013428,0.529,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Turing Machine early computing,1.5591042041778564,0.306,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Theory of Relativity Einstein,1.0734429359436035,0.39,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mobile phone technology evolution,1.5462677478790283,0.175,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of chocolate production,1.01298189163208,0.177,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Apollo 11 moon landing 1969,1.6596558094024658,0.16,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Gothic architecture medieval cathedrals,1.398900032043457,0.629,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,1.4661548137664795,0.396,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Academy Awards history Oscars,2.2911553382873535,0.724,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Fermentation food preservation techniques,1.3604300022125244,0.255,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
